Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
CVCC Vận hành hệ thống CNTT,data engineer,Junior,2-3,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Negotiable,"SQL, AWS, Linux, ETL",Careerviet
Network Administrator - Khối Công nghệ thông tin (HO24.234),network administrator,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,,Careerviet
DevOps Engineer - Khối Công nghệ thông tin (HO24.239),DevOps engineer,Any Level,N/A,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"MongoDB, Docker, Kubernetes, PostgreSQL, Jenkins, CI/CD, Agile",Careerviet
Solution Architect - Khối Công nghệ thông tin (HO24.235),solutions architect,Intermediate,3,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"Big Data, Microservices",Careerviet
Chuyên viên/CVCC/Chuyên gia Quản lý cấu trúc dữ liệu - Khối Dữ liệu (HO24.222),data analyst,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,Tableau,Careerviet
Chuyên viên/CVCC/Chuyên gia Chính sách và chất lượng dữ liệu - Khối Dữ liệu (HO24.221),N/A,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,,Careerviet
Tester - Khối Dữ liệu (HO24.217),QA engineer,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,SQL,Careerviet
CV/CVCC phát triển nền tảng đa kênh,backend developer,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Negotiable,"Java, SQL, AWS, Agile, Scrum, Microservices",Careerviet
Chuyên viên/CVCC Phân tích Khách hàng doanh nghiệp - Khối Dữ liệu (HO24.227),business intelligence analyst,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"SQL, Tableau, Power BI",Careerviet
Chuyên viên/CVCC Công nghệ mô hình (AI/ML Ops) - Khối Dữ liệu (HO24.224),data engineer,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"Python, SQL, Docker, Kubernetes, Jenkins, CI/CD, Hadoop, Spark, AI, R, Airflow, Kafka",Careerviet
"[Quận Tân Bình, HCM] Trưởng Nhóm Dự Án IT (Tiếng Nhật) (35Tr-52Tr) (24996)",IT professional,Intermediate,2-5,Công Ty TNHH Reeracoen Việt Nam,Hồ Chí Minh,$1428.57-2122.45,"Python, Java, SQL, MongoDB, PostgreSQL",Careerviet
CHUYÊN VIÊN IT DEVOPS  (Mạnh về PYTHON),DevOps engineer,Intermediate,2-5,CÔNG TY TNHH FDI FINANCE,Hà Nội,$1020.41-1224.49,"Python, Docker, Kubernetes, PostgreSQL, MySQL, Jenkins, CI/CD, Agile, Scrum, Salesforce",Careerviet
"DevOps Engineer (Python, Nodejs, Java) - Khối Ngân hàng số (HO24.214)",DevOps engineer,Any Level,N/A,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"MongoDB, PostgreSQL, Agile",Careerviet
Chuyên viên/CVCC Phân tích quản trị - Khối Dữ liệu (HO24.228),business intelligence analyst,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"SQL, Tableau, Power BI",Careerviet
Lập trình viên Backend - Backend Developer (Java) - Khối Ngân hàng số (HO24.213),backend developer,Intermediate,3,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"Java, HTML5, JQuery, AWS, Azure, GCP, Bootstrap, jQuery, Spring, PostgreSQL, MySQL, REST API, AI",Careerviet
Data Analyst - Khối Dữ liệu (HO24.215),data analyst,Junior,2,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,,Careerviet
Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu (HO24.223),data scientist,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"SQL, Tableau, Power BI",Careerviet
Business Analyst - Khối Dữ liệu (HO24.218),business analyst,Junior,2,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,SQL,Careerviet
Data Architect - Khối Dữ liệu (HO24.220),IT professional,Senior,5,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,,Careerviet
[PHENIKAA MEC] NHÂN VIÊN CÔNG NGHỆ THÔNG TIN,system administrator,Junior,1-2,CTCP Y HỌC VĨNH THIỆN,Hà Nội,$489.80-612.24,Linux,Careerviet
Kỹ sư Phát triển AI - Khối Công nghệ thông tin (HO24.231),data scientist,Intermediate,1-5,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"Python, Java, Docker, gRPC, Flask, Django, Git, TensorFlow, PyTorch",Careerviet
"[Nam Từ Liêm, Hà Nội] BrSE (IT/Tiếng Nhật N2) (50Tr-68Tr) (24957)",IT professional,Intermediate,2-5,Công Ty TNHH Reeracoen Việt Nam,Hà Nội,$2040.82-2775.51,"Python, Java, SQL, JavaScript, PHP, TypeScript, Swift, Kotlin",Careerviet
Chuyên viên/CVCC Kiểm định mô hình (Model Validation) - Khối Dữ liệu (HO24.225),data scientist,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"Python, SQL, Tableau, Power BI, MATLAB, R",Careerviet
Chuyên viên Kiểm thử tự động (Automation Tester) - Khối Công nghệ thông tin (HO24.236)),QA engineer,Intermediate,2-5,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,,Careerviet
Kỹ Sư Phát Triển Front End - Khối Công nghệ thông tin (HO24.232),frontend developer,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Negotiable,"JavaScript, HTML5, CSS3, Angular, TypeScript, Git",Careerviet
BACK-END DEVELOPER (Python/JavaScript/Scala/Go),backend developer,Any Level,N/A,CÔNG TY TNHH CA ADVANCE VIỆT NAM,Hồ Chí Minh,$750.00-1200.00,"Python, Java, AWS, Azure, GCP, gRPC, Flask, Django, GraphQL, Git, GitHub, Pandas, NoSQL, Agile, RabbitMQ",Careerviet
Lập trình viên .NET,frontend developer,Junior,1-3,CÔNG TY CỔ PHẦN FLAMINGO HOLDING GROUP,Hà Nội,$612.24-1020.41,"Java, SQL, HTML, CSS, .NET, JQuery, Bootstrap, jQuery, IIS",Careerviet
ERP Specialist,data analyst,Junior,2-3,CÔNG TY TNHH AMERICA INDOCHINA MANAGEMENT VIETNAM,Hồ Chí Minh,Negotiable,"SQL, HTML, Power BI, Data analysis, Analysis",Careerviet
Software Manual Tester,QA engineer,Junior,1-3,Yes4All Trading Services Company Limited,Hồ Chí Minh,Negotiable,"Analysis, Selenium, JIRA, UI/UX",Careerviet
Senior Java Developer - Hanoi/HoChiMinh - TA160,software developer,Senior,3-7,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Negotiable,"Java, SQL, Kubernetes, Angular, Spring, SOAP, Git, JIRA",Careerviet
[DI6] Mobile Developer (React Native) – 4C001,mobile developer,Junior,2-3,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-2000.00,"React, Angular, Swift, Kotlin, React Native",Careerviet
[DI6] Senior Front-End Developer (Reactjs/Angular) - MSB -1Y562,frontend developer,Senior,2-3,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-3000.00,"JavaScript, HTML, React, AWS, Angular, TypeScript, Git, Agile, Scrum",Careerviet
Java Backend,backend developer,Junior,2,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Negotiable,"Java, Docker, Spring, Redis, Restful API, SOAP, GitHub, CI/CD, Agile, Scrum, Kafka",Careerviet
PHÓ PHÒNG KINH DOANH (TIẾNG ANH),N/A,Lead/Expert,5-25,CÔNG TY TNHH MEDRING VIỆT NAM INTERNATIONAL,Hà Nội,$1224.49-1632.65,,Careerviet
