Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Chuyên viên công nghệ thông tin (IT Staff),IT professional,Senior,2-10,PTSC Offshore Services (POS),Bà Rịa - Vũng Tàu,Thương lượng,"Linux, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cong-nghe-thong-tin-it-staff.35C25A19.html
Senior B2B Sales Executive (Thu nhập upto 50mil),N/A,Senior,2-10,NETNAM CORP.,Hồ Chí Minh,$10.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-b2b-sales-executive-thu-nhap-upto-50mil.35C1F8BC.html
Senior Backend Developer (Golang),backend developer,Intermediate,1-7,DatVietVAC Group Holdings,Hồ Chí Minh,Thương lượng,"Agile, Scrum",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-backend-developer-golang.35C1B5BA.html
"Security Operations Center Tier 1,2 Engineer (SOC Tier 1,2)",software engineer,Junior,1,Công ty TNHH Viettel - CHT,Hà Nội,Thương lượng,Linux,Careerviet,https://careerviet.vn/vi/tim-viec-lam/security-operations-center-tier-1-2-engineer-soc-tier-1-2.35C1B61E.html
Kiến trúc Hệ thống,system administrator,Senior,8,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,Linux,Careerviet,https://careerviet.vn/vi/tim-viec-lam/kien-truc-he-thong.35C1B72E.html
Senior Business Process,SAP consultant,Junior,2-3,Công ty TNHH Olam Việt Nam,Đồng Nai,Thương lượng,"Power BI, SAP, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-process.35C1B823.html
"[Đống Đa, Hà Nội] 3D Graphic Designer (12,8Tr-15Tr) (24875)",N/A,Intermediate,1-5,Công Ty TNHH Reeracoen Việt Nam,Hà Nội,$128.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/dong-da-ha-noi-3d-graphic-designer-12-8tr-15tr-24875.35C1B82D.html
"ERP System Consultant (Tiếng Nhật Business) (6 tháng đầu training tại Tokyo, Nhật)",data scientist,Intermediate,2-5,CÔNG TY TNHH QUICK VIỆT NAM,Hồ Chí MinhTokyo,$2500.00,ERP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/erp-system-consultant-tieng-nhat-business-6-thang-dau-training-tai-tokyo-nhat.35C1B771.html
Nhân viên Vận hành NOC IT,IT professional,Intermediate,1-5,Công ty TNHH Viettel - CHT,Hà Nội,Thương lượng,TCP/IP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-noc-it.35C1B62F.html
Lead Data Analyst,data analyst,Junior,2-3,CÔNG TY CỔ PHẦN Z HOLDING,Hà Nội,$30.00,"Python, SQL, Power BI, R",Careerviet,https://careerviet.vn/vi/tim-viec-lam/lead-data-analyst.35C1B67C.html
[C6] TỔNG ĐÀI VIÊN CHĂM SÓC KHÁCH HÀNG DỰ ÁN TECHCOMBANK HÀ NỘI,IT professional,Any Level,N/A,BellSystem24-Việt Nam,Hà Nội,$65.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/c6-tong-dai-vien-cham-soc-khach-hang-du-an-techcombank-ha-noi.35C1B5F9.html
Business Development,DevOps engineer,Intermediate,3,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Thương lượng,"AWS, Azure",Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-development.35C1B628.html
DevOps Engineer,DevOps engineer,Intermediate,3-5,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội,$25.00,"Docker, Kubernetes, AWS, Azure, GCP, Redis, ElasticSearch, Jenkins, CI/CD, Terraform, Ansible, Shell scripting, NoSQL, Networking, Microservices, Airflow, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C1B623.html
Chuyên viên Kiểm thử nghiệp vụ (Manual Tester) Manual Tester Khối Công nghệ thông tin (HO24.171),QA engineer,Junior,2,Ngân Hàng TMCP Quân Đội,Hà Nội,Thương lượng,"Agile, Scrum, Android, iOS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kiem-thu-nghiep-vu-manual-tester-manual-tester-khoi-cong-nghe-thong-tin-ho24-171.35C1B5B4.html
