Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Trưởng Phòng Phát Triển Sản Phẩm Số,data scientist,Senior,5,Công Ty Cổ Phần Viễn Thông Di Động Đông Dương Telecom,hà nội,$1500.00,"Marketing Management, Truyền Thông, Marketing Campaign, Phát Triển Sản Phẩm, Digital",Vietnamworks
ERP Specialist,SAP consultant,Junior,1,Be Group Joint Stock Company,thành phố hồ chí minh,Thương lượng,"C#, Data Analysis, ERP Systems, Problem-solving, Project Management",Vietnamworks
IT Staff,IT professional,Junior,1,Panasonic Appliances Vietnam,hồ chí minh,Thương lượng,"IT System Administration, IT Phần Mềm, C#, Full Stack Development, Lập Trình Backend",Vietnamworks
"Chuyên Gia Quản Trị Cơ Sở Dữ Liệu, Phòng Mis, Khối TCKT",data scientist,Any Level,N/A,Ngân Hàng TMCP Đại Chúng Việt Nam,hà nội,$500.00,"Công Nghệ Thông Tin, Tài Chính, Quản Trị Cơ Sở Dữ Liệu",Vietnamworks
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),business analyst,Junior,1,Tổ Chức Giáo Dục FPT,hồ chí minh,Thương lượng,"Phân Tích Hệ Thống, ERP, Công Nghệ Thông Tin, Business Analysis, IT Phần Mềm",Vietnamworks
CRM Data and Analytics Leader,data analyst,Intermediate,3,Công Ty Cổ Phần Sữa Vitadairy Việt Nam,"hcm, hcm, hà nội",Thương lượng,"CRM Database, Data Analysis, Salesforce, SQL, Python",Vietnamworks
System Manager,system administrator,Senior,6,Vietjet Air,ho chi minh,Thương lượng,"IT System Administration, Cloud Services, Window Server, LINUX, Virtualization",Vietnamworks
Chuyên Viên Quản Trị Mạng,data scientist,Any Level,N/A,Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),tp.hcm,$1000.00,"SLA Control, Công nghệ thông tin, Quản Trị Hệ Thống CNTT",Vietnamworks
Unity Developer,software developer,Junior,1,Công Ty TNHH Thankslab Việt Nam,thành phố hồ chí minh,Thương lượng,"OOP, Phát Triển Game, Tiếng Anh, Tiếng Nhật, Phát Triển Unity",Vietnamworks
Chuyên Viên Vận Hành Ứng Dụng Quản Trị - Khối CNTT,database administrator,Junior,2,Ngân hàng Lộc Phát Việt Nam LPBank,hanoi,Thương lượng,"Công Nghệ Thông Tin, MariaDB, OpenStack, Oracle Database, Quản Trị Máy Chủ",Vietnamworks
Trưởng Nhóm Kiến Trúc Giải Pháp - Khối Công Nghệ Thông Tin,data scientist,Senior,5,Ngân Hàng TMCP Tiên Phong (Tpbank),hồ chí minh,$1000.00,"Tiếng Anh, Kiến Trúc Giải Pháp, Internet Banking, Giải Pháp Kỹ Thuật, Quản Lý Kiến Trúc",Vietnamworks
Chuyên Viên Vận Hành Máy Chủ & Nền Tảng - Khối CNTT,data scientist,Intermediate,4,Ngân hàng Lộc Phát Việt Nam LPBank,hanoi,Thương lượng,"Cấu Hình Lưu Trữ, Công Nghệ Phần Mềm, Công Nghệ Thông Tin, Quản Trị Máy Chủ, Vận Hành Máy Chủ",Vietnamworks
