Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Software Team Leader (Upto $1700),Software Team Leader Upto $1700,N/A,Công Ty Cổ Phần Capella Group,5 năm kinh nghiệm,"Tòa nhà Samsora 105 Chu Văn An, Hà Đông, Hà Nội","Tới $ 1,700 /tháng","OOP (Object Oriented Programming), ASP.NET, C#, Entity Framework, .Net",https://www.vietnamworks.com/software-team-leader-upto-1700-1843096-jv?source=searchResults&searchType=2&placement=1843646&sortBy=date
Global e-Commerce - Search Operations Quality Assurance,Global e-Commerce - Search Operations Quality Assurance,N/A,Công Ty TNHH Công Nghệ TikTok Việt Nam,1 năm kinh nghiệm,"LIM Tower 3 - 29A Nguyễn Đình Chiểu, phường Đa Kao, Quận 1, TP.HCM",Thương lượng,"Good English Skills, Problem-solving, QS Experience, Quality Inspection, Search Engine Algorithms",https://www.vietnamworks.com/global-e-commerce-search-operations-quality-assurance-1835703-jv?source=searchResults&searchType=2&placement=1835953&sortBy=date
"Software Engineer - Integration Build (C, C++, Python) (Quantity: 03)","Software Engineer - Integration Build C, C++, Python Quantity: 03",N/A,LG Electronics R&D Vietnam,Không yêu cầu năm kinh nghiệm,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Thương lượng,"C++, Java, Embedded Linux, Python, Kotlin",https://www.vietnamworks.com/software-engineer-integration-build-c-c-plus-plus-python-quantity-03-1838631-jv?source=searchResults&searchType=2&placement=1838631&sortBy=date
Nhân Viên IT,Nhân Viên IT,N/A,Công Ty TNHH Xe Buýt Daewoo Việt Nam,1 năm kinh nghiệm,"Lô 9, Khu Công nghiệp Khai Quang, Vĩnh Yên, Vĩnh Phúc",Thương lượng,"Bảo Trì Mạng, Xử Lý Sự Cố, Triển Khai Bảo Mật, Quản Lý Máy In, Quản Lý CCTV",https://www.vietnamworks.com/nhan-vien-it--1826474-jv?source=searchResults&searchType=2&placement=1826824&sortBy=date
Senior Software Engineer,Senior Software Engineer,['Senior'],Techcombank,4 năm kinh nghiệm,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi","$ 1,200-2,500 /tháng","Banking, Data Engineer, Cloud, Java, Python",https://www.vietnamworks.com/senior-software-engineer--1837732-jv?source=searchResults&searchType=2&placement=1837782&sortBy=date
[Dist 9 - HCMC] Middle/Senior Embedded Software Engineer (IoT),Dist 9 - HCMC Middle/Senior Embedded Software Engineer IoT,['Senior'],Navigos Search,3 năm kinh nghiệm,HCMC,Thương lượng,"C++, Embedded Systems, Linux Kernel, Software Development, Yocto Project",https://www.vietnamworks.com/dist-9-hcmc-middlesenior-embedded-software-engineer-iot-1841738-jv?source=searchResults&searchType=2&placement=1842388&sortBy=date
Developer/ Programmer,Developer/ Programmer,N/A,"Igarment (Vietnam) Co., Ltd.",2 năm kinh nghiệm,"Zen Plaza, 54-56 Nguyen Trai, Pham Ngu Lao Ward, District 1, HCMC",Thương lượng,"Bootstrap, DevOps, Front-End, Python, React.js, React.js",https://www.vietnamworks.com/developer-programmer-1841483-jv?source=searchResults&searchType=2&placement=1842133&sortBy=date
2024 K-Unicorn Global Conference - Job Fair: A Challenge for A Greater Future!,2024 K-Unicorn Global Conference - Job Fair: A Challenge for A Greater Future!,N/A,K-Unicorn Global Conference,Không yêu cầu năm kinh nghiệm,"Basement Level 2, Vinpearl Landmark 81, 720A Dien Bien Phu Street, Ward 22, Binh Thanh District, Ho Chi Minh City, Viet Nam",Thương lượng,"Backend, Job Fair Management, Phát Triển Ứng Dụng Web, Phỏng Vấn Tuyển Dụng",https://www.vietnamworks.com/2024-k-unicorn-global-conference-job-fair-a-challenge-for-a-greater-future-1841102-jv?source=searchResults&searchType=2&placement=1841252&sortBy=date
Senior Business Analyst,Senior Business Analyst,['Senior'],Công Ty TNHH Airquay Vina,3 năm kinh nghiệm,"Golden Palace, Me Tri, Ha Noi",Thương lượng,"Operating, Customer Relations",https://www.vietnamworks.com/senior-business-analyst--1839511-jv?source=searchResults&searchType=2&placement=1839761&sortBy=date
Business Analyst Tại Hà Nội (upto 1000$),Business Analyst Tại Hà Nội upto 1000$,N/A,Công Ty Cổ Phần Truyền Thông GAPIT,2 năm kinh nghiệm,"Phòng 902, Tầng 9, Tòa nhà LakeView, D10 Giảng Võ, Hà Nội","$ 700-1,000 /tháng","Giao Tiếp, Làm Việc Nhóm, Phân Tích Dữ Liệu, SQL, Công Nghệ Omni-Channel",https://www.vietnamworks.com/business-analyst-tai-ha-noi-upto-1000dollar-1842615-jv?source=searchResults&searchType=2&placement=1842965&sortBy=date
