Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
DevOps Engineer,N/A,N/A,N/A,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, AWS, Azure, Jenkins, Git, CI/CD, Ansible, Linux, JIRA, TCP/IP, Load Balancing",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C26559.html
System Engineer,N/A,N/A,2 - 5 Năm,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh Tranh,"Python, Kubernetes, AWS, Azure, MySQL, ElasticSearch, Terraform, Ansible, Linux, Bash, Agile, VMware, Kafka, Nginx",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C2655F.html
Nhân viên Vận hành hệ thống phần mềm (Nhận việc sau Tết)(Mới),N/A,N/A,Trên 1 Năm,Công Ty TNHH Anh Tin,Hồ Chí Minh,10 Tr - 15 Tr VND,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-he-thong-phan-mem-nhan-viec-sau-tet.35C2D47D.html
TRỢ LÝ KINH DOANH (TIẾNG TRUNG),N/A,N/A,Lên đến 2 Năm,Công ty TNHH Thương Mại ABICO Việt Nam,Hồ Chí Minh,15 Tr - 20 Tr VND,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/tro-ly-kinh-doanh-tieng-trung.35C23793.html
Chuyên Viên Kinh Doanh Kênh Phân Phối,N/A,N/A,3 - 5 Năm,Công ty TNHH Acer Việt Nam,Hồ Chí MinhHà Nội,Cạnh Tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-kenh-phan-phoi.35C23826.html
Nhân Viên Bảo Hành Sửa Chữa,N/A,N/A,1 - 2 Năm,Công Ty Cổ Phần Đầu tư Hoàng Đạo,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-hanh-sua-chua.35C229C3.html
Operational Excellent Manager - Data Analysis,N/A,N/A,Trên 7 Năm,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh Tranh,"SQL, Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/operational-excellent-manager-data-analysis.35C23959.html
Chuyên Gia Thiết kế hệ thống CNTT - TA160,N/A,N/A,5 - 10 Năm,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hồ Chí MinhHà Nội,Cạnh Tranh,Analysis,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-thiet-ke-he-thong-cntt-ta160.35C2379E.html
Sales/ Business Development Specialist (Non-CX),N/A,N/A,1 - 2 Năm,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,25 Tr - 35 Tr VND,Business Intelligence,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-business-development-specialist-non-cx.35C28B1A.html
Nhân Viên Lập Trình Nhúng (Iot/ Embedded),N/A,N/A,Trên 2 Năm,"MrVina Technology Co.,ltd",Hồ Chí Minh,Cạnh Tranh,C/C++,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-lap-trinh-nhung-iot-embedded.35C289CE.html
Head of Data,N/A,N/A,7 - 10 Năm,Yes4All Trading Services Company Limited,Hồ Chí Minh,Cạnh Tranh,"Python, SQL, Data science, AWS, Azure, GCP, TensorFlow, PyTorch, Hadoop, Spark, Big Data, Machine Learning, ETL, Snowflake, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-data.35C28A63.html
Sales Manager/ Business Development Manager,N/A,N/A,N/A,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-manager-business-development-manager.35C28A75.html
Sales manager -  for the Japanese market,N/A,N/A,5 - 15 Năm,HR Vietnam’s ESS Client,Hồ Chí MinhHà Nội,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-manager-for-the-japanese-market.35C288FE.html
Chuyên viên chính/Chuyên viên cao cấp Xây Dựng Sản Phẩm Thẻ(Mới),N/A,N/A,1 - 2 Năm,Ngân Hàng TMCP Phương Đông - OCB,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-xay-dung-san-pham-the.35C2D33D.html
