Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
Presales Engineer,,Nhân viên,2 năm,CÔNG TY TNHH CLOUD ACE,Hà Nội,Thoả thuận,"Kỹ năng giải quyết vấn đề, Kỹ Năng Trình Bày, Kỹ Năng Giao Tiếp Xuất Sắc, Hiểu Biết Về Chu Kỳ Bán Hàng, Kiến Thức Kỹ Thuật Sâu Rộng",https://www.topcv.vn/viec-lam/presales-engineer/1570680.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"GẤP


Shipping Clerk",,Nhân viên,2 năm,CÔNG TY TNHH ALTECH COMPUTER SYSTEM,Hồ Chí Minh,13 - 15 triệu,"Logistics, data entry, Inventory Management, Shipping And Receiving, Packaging",https://www.topcv.vn/viec-lam/shipping-clerk/1573429.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Nhân Viên Kinh Doanh Tiếng Nhật,,Nhân viên,Không yêu cầu kinh nghiệm,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hồ Chí Minh,Thoả thuận,"Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng Thuyết phục, kỹ năng quản lý thời gian, Kỹ Năng Lập Kế Hoạch",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tieng-nhat/1570803.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"TOP


IT Application Analyst (SHTP - District 9, HCMC)",,Nhân viên,3 năm,CÔNG TY TNHH TECHTRONIC PRODUCTS (VIỆT NAM),Hồ Chí Minh,Thoả thuận,"SQL, Quản Lý Dự Án, Thiết Kế Hệ Thống, phân tích hệ thống, Kiến Thức Về Cơ Sở Dữ Liệu",https://www.topcv.vn/viec-lam/it-application-analyst-shtp-district-9-hcmc/1568223.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Embedded Software Manager (3000$ - 4000$),"Pro

CÔNG TY CỔ PHẦN SMARTOSC",N/A,Trên 5 năm,CÔNG TY CỔ PHẦN SMARTOSC,Hà Nội,"3,000 - 4,000 USD",N/A,https://www.topcv.vn/brand/smartosc/tuyen-dung/embedded-software-manager-3000-4000-j1567311.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"Sale B2B (Software, Ecommerce, Digital)",,Nhân viên,1 năm,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Hà Nội & 4 nơi khác,10 - 20 triệu,"Xây Dựng Mối Quan Hệ Khách Hàng, Đàm Phán Và Thương Lượng, Kỹ Năng Bán Hàng B2b, Quản Lý Danh Mục Khách Hàng Tiềm Năng (lead), Hiểu Biết Về Phần Mềm Thương Mại Điện Tử Kỹ Thuật Số",https://www.topcv.vn/viec-lam/sale-b2b-software-ecommerce-digital/1567892.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
PHP Web Developer (Junior/Mid),,Nhân viên,1 năm,CÔNG TY TRÁCH NHIỆM HỮU HẠN THK HOLDINGS VIỆT NAM,Hồ Chí Minh,Thoả thuận,"CSS, HTML, Javascript, PHP, SQL",https://www.topcv.vn/viec-lam/php-web-developer-junior-mid/1573221.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
QA QC/Tester (Junior),,Nhân viên,1 năm,CÔNG TY TNHH PLAYSTUDIOS VIỆT NAM,Hà Nội,Thoả thuận,"Tiếng Anh giao tiếp, Manual Test",https://www.topcv.vn/viec-lam/qa-qc-tester-junior/1574057.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Lập Trình Viên Backend Java -Thu Nhập Từ 16-32 Triệu,,Nhân viên,2 năm,Công ty Cổ phần SIMBATECH,Hà Nội,16 - 32 triệu,"Git, RESTful APIs, Spring Framework (spring Boot, Spring Mvc, Spring Data), Java (core Java, Collections, Multithreading), Sql And Databases (e.g., Mysql, Postgresql, Oracle)",https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-java-thu-nhap-tu-16-32-trieu/1573667.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
PHP Web Developer (Senior),,Nhân viên,5 năm,CÔNG TY TRÁCH NHIỆM HỮU HẠN THK HOLDINGS VIỆT NAM,Hồ Chí Minh,Thoả thuận,"CSS, HTML, Javascript, MySQL, PHP",https://www.topcv.vn/viec-lam/php-web-developer-senior/1573216.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
