Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Senior Product Owner,,,3 - 6 Năm,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,Cạnh tranh,Figma,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-product-owner.35C272DD.html
Product Business Analysis (Edutech),,,1 - 2 Năm,OMN1 Solution,Hồ Chí Minh,Cạnh Tranh,Agile,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-business-analysis-edutech.35C1C10B.html
Chuyên Viên Vận Hành Hệ Thống - Tài Chính & Chi Phí (ITBP Finance & Costing Specialist),,,,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Hồ Chí Minh,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-he-thong-tai-chinh-chi-phi-itbp-finance-costing-specialist.35C21DCF.html
DevOps & Security Manager,,,5 - 9 Năm,DatVietVAC Group Holdings,Hồ Chí Minh,Cạnh Tranh,"Python, Docker, Kubernetes, AWS, Azure, Git, CI/CD, Terraform, Ansible, Chef, Puppet, Linux, Unix, Agile, Scrum, Kanban, VMware, TCP/IP, Firewall",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-security-manager.35C1BD4B.html
SAP FICO CONSULTANT,,,Trên 2 Năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Hồ Chí MinhHà Nội,Cạnh Tranh,"SAP, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-fico-consultant.35C1BC92.html
Chuyên viên ERP - Chuyển Đổi Số,,,2 - 3 Năm,Công Ty Cổ Phần Xây Dựng Phước Thành,Hồ Chí Minh,20 Tr - 25 Tr VND,"Big Data, Machine Learning, AI, ERP, Business Intelligence",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-erp-chuyen-doi-so.35C261E5.html
DMS System Admin,,,1 - 3 Năm,CÔNG TY TNHH GLOBAL COMMERCIAL PARTNER,Hồ Chí Minh,11 Tr - 14 Tr VND,"Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/dms-system-admin.35C1FE10.html
Senior Business Analyst,,,3 - 8 Năm,CÔNG TY TNHH CÔNG NGHỆ B2B,Hồ Chí Minh,"800 - 1,000 USD","Data analysis, Analysis, JIRA, Confluence, Agile",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C1FBB1.html
Fullstack Engineer (senior level)(Mới),,,Trên 5 Năm,Diag,Hồ Chí Minh,60 Tr - 80 Tr VND,"SQL, JavaScript, HTML, CSS, PHP, Laravel, PostgreSQL, MySQL, Git, CI/CD, Kafka, Apache",Careerviet,https://careerviet.vn/vi/tim-viec-lam/fullstack-engineer-senior-level.35C28025.html
Chuyên Viên IT Phần Mềm(Mới),,,1 - 3 Năm,Công Ty TNHH May Thêu Giày An Phước,Hồ Chí Minh,15 Tr - 25 Tr VND,"SQL, CSS, React, .NET, Angular, Bootstrap, UI/UX, Swift",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-it-phan-mem.35C27FD8.html
